"idade";"escolaridade";"anos_estudo";"estado_civil";"raca";"sexo";"salario";"classe_trabalho";"qtde_filhos";"UF";"região"
32;"Ensino Médio Incompleto";9;"Solteiro";"Branco";"Masculino";1100;"Funcionário Setor Privado";5;"ES";"Sudeste"
38;"Ensino Médio Incompleto";7;"Casado";"Branco";"Masculino";1100;"Funcionário Setor Privado";1;"RJ";"Sudeste"
43;"Mestrado";14;"Divorciado";"Branco";"Feminino";6120;"Autônomo";1;"SP";"Sudeste"
40;"Doutorado";16;"Casado";"Branco";"Masculino";12535;"Funcionário Setor Privado";2;"PR";"Sul"
54;"Ensino Médio Incompleto";9;"Separado";"Negro";"Feminino";1100;"Funcionário Setor Privado";2;"SC";"Sul"
35;"Ensino Fundamental Completo";5;"Casado";"Negro";"Masculino";1511;"Funcionário Público";4;"RS";"Sul"
43;"Ensino Médio Incompleto";7;"Casado";"Branco";"Masculino";1100;"Funcionário Setor Privado";3;"MS";"Centro-Oeste"
59;"Ensino Médio Incompleto";9;"Divorciado";"Branco";"Feminino";1100;"Funcionário Setor Privado";2;"MT";"Centro-Oeste"
56;"Ensino Médio Completo";13;"Casado";"Branco";"Masculino";10671;"Empresário";0;"GO";"Centro-Oeste"
19;"Ensino Médio Incompleto";9;"Solteiro";"Branco";"Masculino";1100;"Estagiário";2;"DF";"Centro-Oeste"
54;"Ensino Médio Completo";10;"Casado";"Pardo";"Masculino";0;"Desempregado";4;"RO";"Norte"
39;"Ensino Médio Incompleto";9;"Divorciado";"Branco";"Masculino";1100;"Funcionário Setor Privado";0;"AC";"Norte"
49;"Ensino Médio Incompleto";9;"Casado";"Branco";"Masculino";1100;"Funcionário Setor Privado";5;"AM";"Norte"
23;"Ensino Médio Completo";12;"Solteiro";"Branco";"Masculino";13883;"Empresário";3;"RR";"Norte"
20;"Ensino Médio Completo";10;"Solteiro";"Negro";"Masculino";2635;"Funcionário Setor Privado";0;"PA";"Norte"
45;"Ensino Médio Completo";13;"Divorciado";"Branco";"Masculino";2476;"Funcionário Setor Privado";5;"AP";"Norte"
30;"Ensino Médio Completo";10;"Casado";"Branco";"Masculino";3901;"Funcionário Público";3;"TO";"Norte"
22;"Ensino Médio Completo";10;"Casado";"Negro";"Masculino";5257;"Servidor Público";5;"MA";"Nordeste"
48;"Ensino Médio Incompleto";7;"Solteiro";"Branco";"Masculino";1100;"Funcionário Setor Privado";1;"PI";"Nordeste"
21;"Ensino Médio Completo";10;"Solteiro";"Branco";"Masculino";2361;"Funcionário Setor Privado";2;"CE";"Nordeste"
19;"Ensino Médio Incompleto";9;"Casado";"Branco";"Feminino";1100;"Funcionário Setor Privado";1;"RN";"Nordeste"
31;"Ensino Médio Completo";10;"Casado";"Branco";"Masculino";2583;"Funcionário Setor Privado";1;"PB";"Nordeste"
48;"Ensino Médio Completo";12;"Casado";"Branco";"Masculino";3669;"Autônomo";5;"PE";"Nordeste"
31;"Ensino Fundamental Completo";5;"Casado";"Branco";"Masculino";1100;"Funcionário Setor Privado";5;"AL";"Nordeste"
53;"Ensino Médio Completo";13;"Casado";"Branco";"Masculino";2067;"Autônomo";2;"SE";"Nordeste"
24;"Ensino Médio Completo";13;"Casado";"Branco";"Masculino";2682;"Funcionário Setor Privado";0;"BA";"Nordeste"
49;"Ensino Médio Incompleto";9;"Separado";"Branco";"Feminino";1100;"Funcionário Setor Privado";5;"MG";"Sudeste"
25;"Superior Completo";9;"Solteiro";"Branco";"Masculino";8359;"Funcionário Setor Privado";2;"ES";"Sudeste"
57;"Superior Incompleto";13;"Casado";"Negro";"Masculino";4789;"Funcionário Público";4;"RJ";"Sudeste"
53;"Pós-Graduado";9;"Casado";"Branco";"Masculino";11972;"Funcionário Setor Privado";0;"SP";"Sudeste"
44;"Mestrado";14;"Divorciado";"Branco";"Feminino";10065;"Funcionário Setor Privado";2;"PR";"Sul"
41;"Ensino Médio Completo";11;"Casado";"Branco";"Masculino";3657;"Servidor Público";4;"SC";"Sul"
29;"Ensino Médio Completo";11;"Solteiro";"Branco";"Masculino";3484;"Funcionário Setor Privado";4;"RS";"Sul"
25;"Ensino Médio Completo";10;"Casado";"Amarelo";"Feminino";2656;"Funcionário Setor Privado";4;"MS";"Centro-Oeste"
18;"Ensino Médio Incompleto";9;"Solteiro";"Branco";"Feminino";1100;"Funcionário Setor Privado";1;"MT";"Centro-Oeste"
47;"Mestrado";15;"Casado";"Branco";"Feminino";8630;"Funcionário Setor Privado";3;"GO";"Centro-Oeste"
50;"Ensino Médio Completo";13;"Divorciado";"Branco";"Masculino";5217;"Funcionário Público";3;"DF";"Centro-Oeste"
47;"Ensino Médio Incompleto";9;"Divorciado";"Branco";"Masculino";3603;"MEI";4;"RO";"Norte"
43;"Ensino Médio Completo";10;"Casado";"Branco";"Masculino";3357;"Funcionário Setor Privado";1;"AC";"Norte"
46;"Ensino Fundamental Incompleto";3;"Casado";"Branco";"Masculino";1100;"Funcionário Setor Privado";5;"AM";"Norte"
35;"Ensino Médio Completo";11;"Casado";"Branco";"Masculino";3014;"Funcionário Setor Privado";2;"RR";"Norte"
41;"Ensino Médio Incompleto";9;"Casado";"Branco";"Masculino";1100;"Funcionário Setor Privado";2;"PA";"Norte"
30;"Ensino Médio Incompleto";9;"Casado";"Branco";"Masculino";1100;"Funcionário Setor Privado";1;"AP";"Norte"
30;"Ensino Médio Completo";13;"Casado";"Branco";"Masculino";2201;"Funcionário Setor Privado";4;"TO";"Norte"
32;"Ensino Fundamental Incompleto";4;"União Estável";"Branco";"Masculino";1100;"Não Informado";4;"MA";"Nordeste"
48;"Ensino Médio Incompleto";9;"Casado";"Branco";"Masculino";1100;"Funcionário Setor Privado";3;"PI";"Nordeste"
42;"Doutorado";16;"Casado";"Branco";"Masculino";11416;"Funcionário Setor Privado";4;"CE";"Nordeste"
29;"Ensino Médio Completo";10;"Divorciado";"Branco";"Masculino";3865;"Funcionário Setor Privado";4;"RN";"Nordeste"
36;"Ensino Médio Incompleto";9;"Casado";"Branco";"Masculino";1100;"Funcionário Setor Privado";1;"PB";"Nordeste"
28;"Ensino Médio Completo";10;"Divorciado";"Branco";"Feminino";2245;"Funcionário Setor Privado";0;"PE";"Nordeste"
53;"Ensino Médio Incompleto";9;"Casado";"Branco";"Feminino";1100;"Funcionário Setor Privado";3;"AL";"Nordeste"
49;"Ensino Médio Completo";10;"Casado";"Branco";"Masculino";5011;"MEI";1;"SE";"Nordeste"
25;"Ensino Médio Completo";10;"Solteiro";"Branco";"Masculino";3450;"Não Informado";3;"BA";"Nordeste"
19;"Ensino Médio Completo";10;"Solteiro";"Branco";"Masculino";3554;"Funcionário Setor Privado";2;"MG";"Sudeste"
31;"Ensino Médio Completo";13;"Separado";"Negro";"Feminino";3805;"Funcionário Setor Privado";4;"ES";"Sudeste"
29;"Ensino Médio Completo";13;"Casado";"Branco";"Masculino";2465;"Autônomo";4;"RJ";"Sudeste"
23;"Ensino Médio Completo";10;"Solteiro";"Branco";"Masculino";3916;"Funcionário Setor Privado";3;"SP";"Sudeste"
79;"Ensino Médio Completo";10;"Casado";"Branco";"Masculino";1495;"Aposentado";5;"PR";"Sul"
27;"Ensino Médio Incompleto";9;"Solteiro";"Branco";"Masculino";1100;"Funcionário Setor Privado";3;"SC";"Sul"
40;"Ensino Médio Completo";12;"Casado";"Branco";"Masculino";3124;"Funcionário Setor Privado";0;"RS";"Sul"
67;"Ensino Fundamental Completo";6;"Casado";"Branco";"Masculino";1711;"Aposentado";1;"MS";"Centro-Oeste"
18;"Ensino Médio Incompleto";7;"Solteiro";"Branco";"Feminino";1100;"Funcionário Setor Privado";0;"MT";"Centro-Oeste"
31;"Ensino Fundamental Incompleto";4;"Casado";"Branco";"Masculino";13518;"Empresário";2;"GO";"Centro-Oeste"
18;"Ensino Médio Incompleto";9;"Solteiro";"Branco";"Masculino";1100;"Funcionário Setor Privado";1;"DF";"Centro-Oeste"
52;"Ensino Médio Completo";13;"Casado";"Branco";"Masculino";3919;"Funcionário Setor Privado";3;"RO";"Norte"
59;"Superior Completo";9;"Casado";"Branco";"Masculino";11734;"Funcionário Setor Privado";5;"AM";"Norte"
44;"Superior Incompleto";9;"Divorciado";"Branco";"Feminino";3716;"Funcionário Setor Privado";4;"RR";"Norte"
53;"Pós-Graduado";9;"Divorciado";"Branco";"Feminino";6480;"Funcionário Setor Privado";4;"PA";"Norte"
49;"Ensino Médio Incompleto";9;"Casado";"Branco";"Masculino";7371;"Empresário";0;"AP";"Norte"
33;"Mestrado";14;"Casado";"Branco";"Masculino";10161;"Funcionário Setor Privado";0;"TO";"Norte"
30;"Ensino Fundamental Completo";5;"Solteiro";"Branco";"Masculino";1100;"Funcionário Setor Privado";2;"MA";"Nordeste"
43;"Doutorado";16;"Solteiro";"Branco";"Feminino";11124;"Funcionário Público";2;"PI";"Nordeste"
57;"Ensino Médio Completo";11;"Casado";"Branco";"Masculino";2297;"Funcionário Setor Privado";0;"CE";"Nordeste"
37;"Ensino Médio Completo";10;"Divorciado";"Branco";"Feminino";2899;"Funcionário Setor Privado";0;"RN";"Nordeste"
28;"Ensino Médio Completo";10;"Divorciado";"Negro";"Feminino";2901;"Funcionário Setor Privado";4;"PB";"Nordeste"
30;"Ensino Médio Incompleto";9;"Casado";"Pardo";"Feminino";1100;"Funcionário Setor Privado";5;"PE";"Nordeste"
34;"Ensino Médio Completo";13;"Casado";"Branco";"Masculino";4426;"Empresário";3;"AL";"Nordeste"
29;"Ensino Médio Completo";10;"Solteiro";"Branco";"Masculino";3942;"Empresário";4;"SE";"Nordeste"
48;"Doutorado";16;"Casado";"Branco";"Masculino";9784;"Autônomo";3;"BA";"Nordeste"
37;"Ensino Médio Completo";10;"Casado";"Branco";"Masculino";2107;"Funcionário Setor Privado";4;"MG";"Sudeste"
48;"Ensino Médio Completo";12;"Divorciado";"Branco";"Feminino";2742;"Funcionário Setor Privado";1;"ES";"Sudeste"
32;"Ensino Médio Incompleto";9;"Solteiro";"Negro";"Masculino";1837;"Funcionário Público";5;"RJ";"Sudeste"
76;"Mestrado";14;"Casado";"Branco";"Masculino";2024;"Aposentado";0;"SP";"Sudeste"
44;"Ensino Médio Completo";13;"Casado";"Branco";"Masculino";3154;"Funcionário Setor Privado";0;"PR";"Sul"
47;"Mestrado";14;"Solteiro";"Branco";"Feminino";7163;"Autônomo";3;"SC";"Sul"
20;"Ensino Médio Completo";10;"Solteiro";"Branco";"Feminino";3675;"Funcionário Setor Privado";0;"RS";"Sul"
29;"Ensino Médio Incompleto";9;"Solteiro";"Branco";"Masculino";1100;"Funcionário Setor Privado";1;"MS";"Centro-Oeste"
32;"Ensino Médio Incompleto";9;"Casado";"Branco";"Masculino";6332;"MEI";4;"MT";"Centro-Oeste"
17;"Ensino Fundamental Completo";6;"Solteiro";"Branco";"Feminino";1100;"Menor Aprendiz";1;"GO";"Centro-Oeste"
30;"Superior Completo";7;"Solteiro";"Branco";"Masculino";7640;"Funcionário Setor Privado";0;"DF";"Centro-Oeste"
31;"Superior Incompleto";9;"Solteiro";"Branco";"Feminino";10089;"Empresário";1;"RO";"Norte"
42;"Pós-Graduado";9;"Casado";"Branco";"Masculino";6646;"Funcionário Setor Privado";2;"AC";"Norte"
24;"Ensino Médio Completo";13;"Solteiro";"Branco";"Masculino";3967;"Funcionário Setor Privado";4;"AM";"Norte"
38;"Mestrado";15;"Casado";"Branco";"Masculino";6836;"Funcionário Setor Privado";4;"RR";"Norte"
56;"Ensino Médio Incompleto";9;"Casado";"Branco";"Masculino";1100;"Autônomo";4;"PA";"Norte"
28;"Ensino Médio Completo";10;"Casado";"Branco";"Feminino";3179;"Funcionário Setor Privado";3;"AP";"Norte"
36;"Ensino Médio Incompleto";9;"Solteiro";"Branco";"Feminino";1100;"Funcionário Setor Privado";3;"TO";"Norte"
53;"Ensino Fundamental Completo";5;"Casado";"Branco";"Masculino";1100;"Funcionário Setor Privado";5;"MA";"Nordeste"
56;"Ensino Médio Completo";10;"Casado";"Branco";"Masculino";5386;"MEI";0;"PI";"Nordeste"
49;"Ensino Médio Completo";11;"Casado";"Negro";"Masculino";3043;"Empresário";0;"CE";"Nordeste"
55;"Ensino Médio Completo";10;"Casado";"Branco";"Masculino";2373;"Funcionário Setor Privado";0;"RN";"Nordeste"
22;"Ensino Médio Incompleto";9;"Solteiro";"Branco";"Masculino";1100;"Funcionário Setor Privado";2;"PB";"Nordeste"
21;"Ensino Médio Completo";10;"Solteiro";"Branco";"Feminino";3958;"Funcionário Setor Privado";0;"PE";"Nordeste"
40;"Ensino Médio Completo";13;"Casado";"Branco";"Masculino";2678;"Funcionário Setor Privado";0;"AL";"Nordeste"
30;"Ensino Médio Completo";13;"Solteiro";"Negro";"Masculino";3971;"Funcionário Setor Privado";4;"SE";"Nordeste"
29;"Ensino Médio Completo";13;"Casado";"Branco";"Masculino";5712;"Servidor Público";3;"BA";"Nordeste"
19;"Ensino Médio Completo";10;"Solteiro";"Negro";"Masculino";3296;"Funcionário Setor Privado";1;"MG";"Sudeste"
47;"Ensino Médio Completo";13;"Casado";"Branco";"Feminino";3976;"Funcionário Setor Privado";3;"ES";"Sudeste"
20;"Ensino Médio Completo";10;"Solteiro";"Branco";"Feminino";3020;"Funcionário Setor Privado";1;"RJ";"Sudeste"
31;"Ensino Médio Completo";12;"Casado";"Branco";"Masculino";3781;"Funcionário Setor Privado";5;"SP";"Sudeste"
35;"Ensino Médio Incompleto";9;"Casado";"Amarelo";"Masculino";1100;"Não Informado";4;"PR";"Sul"
39;"Ensino Médio Completo";10;"Divorciado";"Branco";"Masculino";2457;"Funcionário Setor Privado";3;"SC";"Sul"
28;"Ensino Médio Completo";12;"Solteiro";"Amarelo";"Feminino";2297;"Funcionário Setor Privado";1;"RS";"Sul"
24;"Ensino Médio Incompleto";9;"Solteiro";"Branco";"Feminino";1100;"Funcionário Setor Privado";5;"MS";"Centro-Oeste"
38;"Ensino Médio Incompleto";9;"Casado";"Branco";"Masculino";1100;"Autônomo";0;"MT";"Centro-Oeste"
37;"Ensino Médio Completo";13;"Casado";"Branco";"Masculino";2816;"Funcionário Setor Privado";3;"GO";"Centro-Oeste"
46;"Ensino Médio Completo";12;"Divorciado";"Negro";"Feminino";3095;"Funcionário Setor Privado";0;"DF";"Centro-Oeste"
38;"Mestrado";14;"Casado";"Branco";"Masculino";9952;"Funcionário Público";5;"RO";"Norte"
43;"Ensino Médio Incompleto";9;"Casado";"Branco";"Masculino";1100;"Autônomo";2;"AC";"Norte"
27;"Ensino Médio Completo";11;"Casado";"Amarelo";"Feminino";2485;"Funcionário Setor Privado";5;"AM";"Norte"
20;"Ensino Médio Completo";10;"Solteiro";"Branco";"Masculino";3892;"Funcionário Setor Privado";0;"RR";"Norte"
49;"Ensino Médio Completo";10;"Casado";"Pardo";"Masculino";2835;"Funcionário Setor Privado";1;"PA";"Norte"
61;"Ensino Médio Incompleto";9;"Casado";"Branco";"Masculino";4285;"MEI";1;"AP";"Norte"
27;"Ensino Médio Completo";10;"Solteiro";"Branco";"Feminino";3592;"Funcionário Setor Privado";2;"TO";"Norte"
19;"Ensino Médio Completo";10;"Solteiro";"Amarelo";"Masculino";2915;"Funcionário Setor Privado";1;"MA";"Nordeste"
45;"Ensino Médio Completo";11;"Solteiro";"Branco";"Feminino";3256;"Funcionário Setor Privado";1;"PI";"Nordeste"
70;"Ensino Médio Completo";10;"Solteiro";"Branco";"Masculino";2616;"Aposentado";4;"CE";"Nordeste"
31;"Ensino Médio Incompleto";9;"Solteiro";"Negro";"Feminino";1100;"Funcionário Setor Privado";4;"RN";"Nordeste"
22;"Ensino Médio Completo";10;"Casado";"Amarelo";"Masculino";3613;"Funcionário Setor Privado";3;"PB";"Nordeste"
36;"Ensino Médio Incompleto";9;"Viúvo";"Branco";"Feminino";1100;"Funcionário Setor Privado";5;"PE";"Nordeste"
64;"Ensino Médio Incompleto";7;"Casado";"Branco";"Masculino";1100;"Funcionário Setor Privado";4;"AL";"Nordeste"
43;"Ensino Médio Completo";10;"Divorciado";"Branco";"Feminino";2490;"Não Informado";0;"SE";"Nordeste"
47;"Ensino Médio Completo";10;"Divorciado";"Branco";"Feminino";10360;"Empresário";2;"BA";"Nordeste"
34;"Ensino Médio Incompleto";9;"Solteiro";"Branco";"Feminino";1100;"Funcionário Setor Privado";1;"MG";"Sudeste"
33;"Ensino Médio Completo";13;"Solteiro";"Pardo";"Feminino";2926;"Funcionário Setor Privado";2;"ES";"Sudeste"
21;"Ensino Médio Incompleto";9;"Solteiro";"Branco";"Masculino";1100;"Funcionário Setor Privado";3;"RJ";"Sudeste"
52;"Ensino Médio Incompleto";9;"Divorciado";"Branco";"Masculino";1100;"Não Informado";1;"SP";"Sudeste"
48;"Ensino Médio Incompleto";9;"Casado";"Branco";"Masculino";1100;"Funcionário Setor Privado";1;"PR";"Sul"
23;"Ensino Médio Completo";13;"Solteiro";"Amarelo";"Masculino";3272;"Funcionário Setor Privado";1;"SC";"Sul"
71;"Ensino Médio Completo";10;"Separado";"Negro";"Masculino";5075;"Aposentado";5;"RS";"Sul"
29;"Ensino Médio Incompleto";9;"Divorciado";"Branco";"Masculino";1100;"Funcionário Setor Privado";1;"MS";"Centro-Oeste"
42;"Ensino Médio Completo";13;"Separado";"Negro";"Masculino";3511;"Funcionário Setor Privado";5;"MT";"Centro-Oeste"
68;"Ensino Fundamental Incompleto";2;"Divorciado";"Branco";"Feminino";2480;"Aposentado";0;"GO";"Centro-Oeste"
25;"Ensino Médio Incompleto";9;"Solteiro";"Branco";"Feminino";1100;"Funcionário Setor Privado";5;"DF";"Centro-Oeste"
44;"Mestrado";14;"Divorciado";"Pardo";"Feminino";3829;"MEI";4;"RO";"Norte"
28;"Ensino Médio Incompleto";9;"Solteiro";"Pardo";"Feminino";1100;"Funcionário Setor Privado";1;"AC";"Norte"
45;"Mestrado";14;"Casado";"Branco";"Masculino";6871;"Autônomo";1;"AM";"Norte"
36;"Ensino Médio Completo";10;"Divorciado";"Branco";"Feminino";3183;"Funcionário Setor Privado";1;"RR";"Norte"
39;"Ensino Médio Completo";12;"Solteiro";"Branco";"Masculino";3630;"Funcionário Público";0;"PA";"Norte"
46;"Mestrado";14;"Viúvo";"Amarelo";"Masculino";8107;"Servidor Público";2;"AP";"Norte"
18;"Ensino Médio Incompleto";7;"Solteiro";"Amarelo";"Masculino";1100;"Funcionário Setor Privado";2;"TO";"Norte"
66;"Ensino Médio Completo";11;"Viúvo";"Branco";"Feminino";5889;"Aposentado";3;"MA";"Nordeste"
27;"Ensino Médio Incompleto";9;"Solteiro";"Branco";"Masculino";1100;"Funcionário Setor Privado";2;"PI";"Nordeste"
28;"Ensino Médio Incompleto";9;"Casado";"Branco";"Masculino";1313;"Servidor Público";0;"CE";"Nordeste"
51;"Ensino Médio Completo";10;"Casado";"Branco";"Masculino";3272;"Funcionário Setor Privado";5;"RN";"Nordeste"
27;"Ensino Médio Completo";13;"Solteiro";"Branco";"Masculino";2547;"Funcionário Setor Privado";1;"PB";"Nordeste"
28;"Ensino Médio Completo";13;"Casado";"Branco";"Masculino";5059;"Servidor Público";0;"PE";"Nordeste"
27;"Ensino Médio Incompleto";9;"União Estável";"Branco";"Feminino";1100;"Funcionário Setor Privado";3;"AL";"Nordeste"
21;"Ensino Médio Incompleto";9;"Solteiro";"Negro";"Masculino";1100;"Funcionário Setor Privado";4;"SE";"Nordeste"
34;"Ensino Médio Incompleto";9;"Solteiro";"Negro";"Masculino";1100;"Funcionário Setor Privado";5;"BA";"Nordeste"
18;"Ensino Médio Incompleto";9;"Solteiro";"Branco";"Masculino";1100;"Funcionário Setor Privado";1;"MG";"Sudeste"
33;"Ensino Médio Completo";13;"Casado";"Branco";"Masculino";3450;"Funcionário Setor Privado";3;"ES";"Sudeste"
44;"Ensino Médio Completo";10;"Casado";"Negro";"Masculino";2441;"Empresário";0;"RJ";"Sudeste"
43;"Ensino Médio Completo";10;"Divorciado";"Branco";"Feminino";3377;"Funcionário Setor Privado";5;"SP";"Sudeste"
30;"Ensino Médio Completo";10;"Solteiro";"Negro";"Masculino";3229;"Funcionário Setor Privado";2;"PR";"Sul"
40;"Ensino Fundamental Incompleto";4;"Casado";"Branco";"Masculino";1100;"Funcionário Setor Privado";3;"SC";"Sul"
37;"Ensino Médio Completo";10;"Casado";"Branco";"Masculino";3915;"Funcionário Público";3;"RS";"Sul"
34;"Ensino Médio Incompleto";9;"Casado";"Negro";"Masculino";1100;"Funcionário Setor Privado";0;"MS";"Centro-Oeste"
41;"Ensino Médio Completo";13;"Divorciado";"Branco";"Feminino";3232;"Autônomo";3;"MT";"Centro-Oeste"
53;"Ensino Médio Completo";13;"Divorciado";"Branco";"Feminino";3477;"Não Informado";1;"GO";"Centro-Oeste"
31;"Mestrado";14;"Casado";"Branco";"Feminino";10280;"Funcionário Setor Privado";3;"DF";"Centro-Oeste"
58;"Doutorado";16;"Casado";"Branco";"Masculino";13404;"Servidor Público";0;"RO";"Norte"
38;"Ensino Médio Completo";10;"Divorciado";"Negro";"Feminino";2369;"Funcionário Setor Privado";4;"AC";"Norte"
24;"Ensino Médio Completo";10;"Casado";"Branco";"Masculino";2162;"Funcionário Setor Privado";4;"AM";"Norte"
41;"Superior Completo";13;"Casado";"Negro";"Masculino";2626;"Empresário";1;"RR";"Norte"
47;"Superior Incompleto";10;"Casado";"Amarelo";"Masculino";2414;"Funcionário Setor Privado";5;"PA";"Norte"
41;"Pós-Graduado";13;"Casado";"Amarelo";"Masculino";7564;"Funcionário Público";0;"AP";"Norte"
23;"Ensino Fundamental Incompleto";3;"Casado";"Branco";"Masculino";1100;"Funcionário Setor Privado";1;"TO";"Norte"
36;"Ensino Médio Completo";10;"Divorciado";"Branco";"Masculino";3466;"Funcionário Setor Privado";2;"MA";"Nordeste"
40;"Mestrado";14;"Solteiro";"Amarelo";"Feminino";7352;"Funcionário Público";4;"PI";"Nordeste"
35;"Mestrado";14;"Casado";"Branco";"Masculino";8748;"Funcionário Setor Privado";4;"CE";"Nordeste"
24;"Ensino Médio Incompleto";9;"Solteiro";"Branco";"Masculino";1100;"Autônomo";2;"RN";"Nordeste"
26;"Mestrado";14;"Solteiro";"Branco";"Feminino";9089;"Funcionário Setor Privado";5;"PB";"Nordeste"
19;"Ensino Médio Incompleto";9;"Solteiro";"Amarelo";"Masculino";1100;"Não Informado";0;"PE";"Nordeste"
51;"Ensino Médio Completo";13;"Casado";"Branco";"Masculino";2699;"Funcionário Setor Privado";3;"AL";"Nordeste"
42;"Ensino Médio Completo";10;"Solteiro";"Amarelo";"Feminino";3408;"Empresário";5;"SE";"Nordeste"
37;"Ensino Médio Incompleto";9;"Divorciado";"Branco";"Feminino";1832;"Servidor Público";4;"BA";"Nordeste"
18;"Ensino Médio Incompleto";7;"Solteiro";"Amarelo";"Feminino";1100;"Funcionário Setor Privado";0;"MG";"Sudeste"
36;"Ensino Médio Completo";13;"Casado";"Negro";"Masculino";3633;"Funcionário Setor Privado";0;"ES";"Sudeste"
35;"Ensino Médio Incompleto";9;"Divorciado";"Branco";"Masculino";1100;"Funcionário Setor Privado";5;"RJ";"Sudeste"
58;"Ensino Médio Incompleto";9;"Casado";"Branco";"Feminino";4559;"MEI";4;"SP";"Sudeste"
17;"Ensino Médio Incompleto";7;"Solteiro";"Branco";"Feminino";1100;"Menor Aprendiz";2;"PR";"Sul"
44;"Ensino Médio Incompleto";9;"Casado";"Negro";"Masculino";3177;"Empresário";3;"SC";"Sul"
37;"Ensino Médio Incompleto";9;"Casado";"Branco";"Masculino";1100;"Funcionário Setor Privado";5;"RS";"Sul"
35;"Ensino Médio Completo";10;"Solteiro";"Indígena";"Feminino";2833;"Funcionário Setor Privado";2;"MS";"Centro-Oeste"
60;"Ensino Médio Incompleto";9;"Casado";"Pardo";"Masculino";1100;"Funcionário Setor Privado";4;"MT";"Centro-Oeste"
54;"Ensino Fundamental Incompleto";4;"Casado";"Branco";"Masculino";4752;"MEI";5;"GO";"Centro-Oeste"
37;"Ensino Médio Completo";13;"Solteiro";"Negro";"Masculino";2144;"Funcionário Setor Privado";1;"DF";"Centro-Oeste"
50;"Ensino Médio Completo";12;"Divorciado";"Branco";"Feminino";3416;"Funcionário Setor Privado";2;"RO";"Norte"
38;"Ensino Médio Completo";13;"Casado";"Branco";"Masculino";2974;"Funcionário Setor Privado";5;"AC";"Norte"
45;"Ensino Médio Completo";13;"Casado";"Amarelo";"Masculino";3355;"Funcionário Setor Privado";1;"AM";"Norte"
25;"Ensino Fundamental Completo";6;"Solteiro";"Branco";"Masculino";1100;"Funcionário Setor Privado";3;"RR";"Norte"
31;"Ensino Médio Completo";10;"Casado";"Amarelo";"Masculino";2202;"Funcionário Setor Privado";5;"PA";"Norte"
64;"Ensino Fundamental Incompleto";2;"Divorciado";"Branco";"Masculino";1100;"Não Informado";0;"AP";"Norte"
90;"Ensino Médio Incompleto";9;"Solteiro";"Negro";"Masculino";1741;"Aposentado";3;"TO";"Norte"
54;"Ensino Médio Incompleto";9;"Casado";"Negro";"Masculino";1100;"Funcionário Setor Privado";5;"MA";"Nordeste"
53;"Analfabeto";1;"Solteiro";"Branco";"Feminino";6333;"Empresário";0;"PI";"Nordeste"
18;"Ensino Médio Incompleto";9;"Solteiro";"Branco";"Feminino";1100;"Funcionário Setor Privado";1;"CE";"Nordeste"
60;"Ensino Fundamental Completo";6;"Divorciado";"Indígena";"Feminino";1100;"Não Informado";4;"RN";"Nordeste"
66;"Ensino Médio Incompleto";9;"Casado";"Branco";"Masculino";4678;"Aposentado";1;"PB";"Nordeste"
